CustomerID,Age,Gender,Location,Tenure,ContractType,CustomerSince,MonthlyUsageHours,NumTransactions,LoginsPerMonth,CallMinutes,DataUsageGB,MonthlyCharges,TotalCharges,Revenue,DiscountsReceived,SupportCallsCount,ComplaintsCount,SatisfactionScore,ServiceOutagesReported,CLV,Churn,ContractRisk,SupportContactRate,Complaint_Severity_Index,RevenuePerMonth,Tenure_to_Monthly_Ratio,EngagementScore,CLV_to_Monthly_Ratio,Churn_Probability,Risk_Tier,Value_Tier,Risk_Value_Segment,Annual_Customer_Value,Recommended_Action,Intervention_Cost,Expected_Benefit,Expected_Net_Gain
CUST-1015,57,Female,Suburban,21,One-Year,2024-12-02,101.8,4,20,20.0,10.0,105.26,2178.87,2178.87,28.85,0,1,3,0,1364.17,0,0,0.0,3,103.76,0.1995,1.24,12.96,0.1918,Low Risk,Silver CLV,Low Risk | Silver CLV,1263.12,Free Service & Speed Upgrade,65.0,170.07,105.07
CUST-1016,41,Female,Suburban,1,Month-to-Month,2026-08-02,89.4,5,13,320.3,6.7,51.3,51.0,51.0,18.28,3,1,3,2,664.85,1,1,1.5,3,51.0,0.0195,1.42,12.96,0.8777,Critical Risk,Bronze CLV,Critical Risk | Bronze CLV,615.6,Dedicated VIP Account Concierge,150.0,430.65,280.65
CUST-1017,20,Male,Suburban,72,Month-to-Month,2020-09-04,36.5,9,23,442.3,8.6,127.77,8993.27,8993.27,60.44,1,0,5,1,3066.48,0,1,0.0137,0,124.91,0.5635,2.21,24.0,0.1469,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1533.24,Free Service & Speed Upgrade,65.0,292.8,227.8
CUST-1018,39,Female,Urban,24,Two-Year,2024-09-02,67.5,7,23,769.0,18.9,64.34,1550.32,1550.32,0.8,4,0,3,0,926.5,0,0,0.16,0,64.6,0.373,3.07,14.4,0.103,Low Risk,Silver CLV,Low Risk | Silver CLV,772.08,15% Discount Voucher (3 Months),35.0,42.94,7.94
CUST-1019,70,Female,Urban,3,Month-to-Month,2026-06-02,59.7,3,23,746.5,77.9,98.51,287.63,287.63,19.48,0,0,4,0,1891.39,0,1,0.0,0,95.88,0.0305,4.2,19.2,0.1727,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1182.12,Free Service & Speed Upgrade,65.0,212.32,147.32
CUST-1020,19,Male,Urban,4,Month-to-Month,2026-05-03,136.9,5,19,53.6,72.4,73.7,306.58,306.58,74.54,5,1,1,0,318.38,1,1,1.0,5,76.64,0.0543,2.51,4.32,0.9165,Critical Risk,Bronze CLV,Critical Risk | Bronze CLV,884.4,Free Service & Speed Upgrade,65.0,170.7,105.7
CUST-1021,41,Male,Urban,16,One-Year,2025-05-03,88.5,6,16,221.2,93.7,87.96,1357.19,1357.19,3.11,2,1,3,1,1139.96,0,0,0.1176,3,84.82,0.1819,3.12,12.96,0.4316,Medium Risk,Silver CLV,Medium Risk | Silver CLV,1055.52,Free Service & Speed Upgrade,65.0,319.8,254.8
CUST-1022,61,Female,Urban,72,One-Year,2020-09-04,76.6,6,17,476.1,55.7,93.41,6675.79,6675.79,8.14,0,0,4,1,1793.47,0,0,0.0,0,92.72,0.7708,2.92,19.2,0.0854,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1120.92,Free Service & Speed Upgrade,65.0,99.56,34.56
CUST-1023,47,Male,Urban,39,One-Year,2023-06-04,68.2,2,17,563.4,44.1,117.58,4413.59,4413.59,113.21,0,0,4,0,2257.54,0,0,0.0,0,113.17,0.3317,2.86,19.2,0.0944,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1410.96,Free Service & Speed Upgrade,65.0,138.52,73.52
CUST-1024,55,Male,Urban,67,One-Year,2021-02-03,81.3,5,12,331.5,36.8,44.4,2932.63,2932.63,111.77,0,0,4,0,852.48,0,0,0.0,0,43.77,1.509,2.0,19.2,0.0858,Low Risk,Bronze CLV,Low Risk | Bronze CLV,532.8,No Intervention,0.0,0.0,0.0
CUST-1025,19,Male,Rural,15,One-Year,2025-06-02,107.5,4,17,543.2,135.0,85.75,1284.29,1284.29,16.99,3,1,2,0,740.88,1,0,0.1875,4,85.62,0.1749,4.64,8.64,0.8213,Critical Risk,Bronze CLV,Critical Risk | Bronze CLV,1029.0,Dedicated VIP Account Concierge,150.0,449.06,299.06
CUST-1026,38,Female,Urban,2,One-Year,2026-07-03,30.1,12,10,330.5,27.4,102.66,206.43,206.43,48.84,2,1,2,0,886.98,1,0,0.6667,4,103.21,0.0195,1.71,8.64,0.8107,Critical Risk,Bronze CLV,Critical Risk | Bronze CLV,1231.92,Dedicated VIP Account Concierge,150.0,530.68,380.68
CUST-1027,50,Female,Suburban,72,One-Year,2020-09-04,91.9,5,15,343.4,144.4,114.37,8095.88,8095.88,34.4,3,0,3,1,1646.93,0,0,0.0411,0,112.44,0.6295,4.32,14.4,0.1131,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1372.44,Free Service & Speed Upgrade,65.0,121.07,56.07
CUST-1028,29,Female,Suburban,1,Month-to-Month,2026-08-02,69.9,7,18,249.3,21.0,117.94,121.59,121.59,23.77,3,0,4,0,2264.45,1,1,1.5,0,121.59,0.0085,1.82,19.2,0.77,High Risk,Gold/Platinum CLV,High Risk | Gold/Platinum CLV,1415.28,Dedicated VIP Account Concierge,150.0,1358.29,1208.29
CUST-1029,39,Male,Urban,72,Month-to-Month,2020-09-04,97.9,4,21,203.8,11.1,128.91,9295.83,9295.83,58.86,0,1,4,1,2227.56,0,1,0.0,2,129.11,0.5585,1.68,17.28,0.362,Medium Risk,Gold/Platinum CLV,Medium Risk | Gold/Platinum CLV,1546.92,Dedicated VIP Account Concierge,150.0,661.23,511.23
CUST-1030,61,Female,Rural,16,One-Year,2025-05-03,109.0,5,21,359.0,19.1,38.69,649.52,649.52,36.83,0,0,4,0,742.85,0,0,0.0,0,40.59,0.4135,2.15,19.2,0.082,Low Risk,Bronze CLV,Low Risk | Bronze CLV,464.28,No Intervention,0.0,0.0,0.0
CUST-1031,42,Female,Suburban,1,Two-Year,2026-08-02,64.1,2,23,653.4,44.9,113.83,109.54,109.54,3.34,1,1,3,0,1475.24,0,0,0.5,3,109.54,0.0088,3.35,12.96,0.225,Low Risk,Silver CLV,Low Risk | Silver CLV,1365.96,Free Service & Speed Upgrade,65.0,215.75,150.75
CUST-1032,66,Female,Urban,39,Month-to-Month,2023-06-04,43.9,6,28,536.6,169.1,83.03,3135.7,3135.7,64.06,2,0,4,1,1594.18,0,1,0.05,0,80.4,0.4697,5.86,19.2,0.1502,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,996.36,Free Service & Speed Upgrade,65.0,155.64,90.64
CUST-1033,44,Female,Suburban,72,Month-to-Month,2020-09-04,75.9,2,26,498.7,12.7,82.26,6101.46,6101.46,11.23,1,1,4,0,1421.45,0,1,0.0137,2,84.74,0.8753,2.55,17.28,0.1001,Low Risk,Silver CLV,Low Risk | Silver CLV,987.12,15% Discount Voucher (3 Months),35.0,64.03,29.03
CUST-1034,59,Male,Urban,72,Two-Year,2020-09-04,123.6,7,14,398.8,56.4,105.65,7648.08,7648.08,35.08,0,0,4,2,2028.48,0,0,0.0,0,106.22,0.6815,2.63,19.2,0.0859,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1267.8,Free Service & Speed Upgrade,65.0,113.26,48.26
CUST-1035,45,Female,Suburban,6,One-Year,2026-03-03,110.1,7,17,526.1,16.0,44.71,264.5,264.5,52.28,1,1,3,2,579.44,0,0,0.1429,3,44.08,0.1342,2.22,12.96,0.2335,Low Risk,Bronze CLV,Low Risk | Bronze CLV,536.52,15% Discount Voucher (3 Months),35.0,60.88,25.88
CUST-1036,33,Male,Urban,7,Month-to-Month,2026-02-01,73.7,3,15,364.7,73.6,75.9,526.54,526.54,79.78,1,0,4,0,1457.28,0,1,0.125,0,75.22,0.0922,2.95,19.2,0.4258,Medium Risk,Silver CLV,Medium Risk | Silver CLV,910.8,Dedicated VIP Account Concierge,150.0,508.82,358.82
CUST-1037,32,Female,Suburban,28,One-Year,2024-05-03,66.0,6,12,305.7,40.7,143.35,4039.4,4039.4,90.78,2,2,3,0,1651.39,1,0,0.069,6,144.26,0.1953,2.03,11.52,0.7521,High Risk,Gold/Platinum CLV,High Risk | Gold/Platinum CLV,1720.2,Dedicated VIP Account Concierge,150.0,967.53,817.53
CUST-1038,64,Male,Urban,34,Two-Year,2023-11-03,68.2,6,19,545.6,86.0,53.57,1745.93,1745.93,91.03,2,1,2,2,462.84,1,0,0.0571,4,51.35,0.6347,3.76,8.64,0.4479,Medium Risk,Bronze CLV,Medium Risk | Bronze CLV,642.84,Free Service & Speed Upgrade,65.0,134.75,69.75
CUST-1039,68,Male,Suburban,45,One-Year,2022-12-03,46.1,2,21,347.8,126.0,53.49,2470.87,2470.87,37.47,1,0,4,2,1027.01,0,0,0.0217,0,54.91,0.8413,4.27,19.2,0.0842,Low Risk,Silver CLV,Low Risk | Silver CLV,641.88,15% Discount Voucher (3 Months),35.0,38.91,3.91
CUST-1040,61,Male,Urban,7,One-Year,2026-02-01,108.5,3,25,257.8,26.5,125.21,872.01,872.01,34.25,1,0,4,0,2404.03,0,0,0.125,0,124.57,0.0559,2.3,19.2,0.1245,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1502.52,Free Service & Speed Upgrade,65.0,194.55,129.55
CUST-1041,69,Female,Suburban,72,Month-to-Month,2020-09-04,114.0,1,17,527.7,180.9,101.66,7255.48,7255.48,0.52,2,2,3,0,1171.12,1,1,0.0274,6,100.77,0.7082,5.52,11.52,0.6224,High Risk,Silver CLV,High Risk | Silver CLV,1219.92,Dedicated VIP Account Concierge,150.0,567.82,417.82
CUST-1042,20,Male,Suburban,34,Two-Year,2023-11-03,73.4,8,12,205.6,41.1,108.76,3798.86,3798.86,3.09,2,0,3,1,1566.14,0,0,0.0571,0,111.73,0.3126,1.83,14.4,0.1243,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1305.12,Free Service & Speed Upgrade,65.0,126.54,61.54
CUST-1043,54,Female,Urban,62,Month-to-Month,2021-07-05,70.0,3,13,520.0,179.3,87.06,5435.07,5435.07,17.45,2,2,3,0,1002.93,0,1,0.0317,6,87.66,0.7122,5.28,11.52,0.4746,Medium Risk,Silver CLV,Medium Risk | Silver CLV,1044.72,Free Service & Speed Upgrade,65.0,309.39,244.39
CUST-1044,68,Male,Suburban,26,Two-Year,2024-07-03,64.1,9,11,523.1,17.0,50.38,1343.17,1343.17,55.1,1,0,4,0,967.3,0,0,0.037,0,51.66,0.5161,1.94,19.2,0.0837,Low Risk,Silver CLV,Low Risk | Silver CLV,604.56,15% Discount Voucher (3 Months),35.0,36.43,1.43
CUST-1045,24,Male,Urban,18,Month-to-Month,2025-03-03,71.5,5,26,218.4,147.8,71.6,1344.04,1344.04,31.38,3,1,3,0,927.94,1,1,0.1579,3,74.67,0.2514,4.69,12.96,0.845,Critical Risk,Silver CLV,Critical Risk | Silver CLV,859.2,Dedicated VIP Account Concierge,150.0,578.67,428.67
CUST-1046,38,Female,Rural,72,Month-to-Month,2020-09-04,62.9,9,14,230.6,26.4,51.45,3869.56,3869.56,9.39,3,0,4,0,987.84,0,1,0.0411,0,53.74,1.3994,1.69,19.2,0.1209,Low Risk,Silver CLV,Low Risk | Silver CLV,617.4,15% Discount Voucher (3 Months),35.0,53.74,18.74
CUST-1047,26,Male,Urban,29,Month-to-Month,2024-04-03,80.3,12,12,684.9,90.3,66.95,1927.82,1927.82,4.59,4,1,2,0,578.45,1,1,0.1333,4,66.48,0.4332,3.78,8.64,0.8673,Critical Risk,Bronze CLV,Critical Risk | Bronze CLV,803.4,Free Service & Speed Upgrade,65.0,293.49,228.49
CUST-1048,56,Male,Suburban,67,Month-to-Month,2021-02-03,108.6,11,22,562.0,224.1,84.06,5389.57,5389.57,22.1,1,1,3,0,1089.42,0,1,0.0147,3,80.44,0.797,6.71,12.96,0.1161,Low Risk,Silver CLV,Low Risk | Silver CLV,1008.72,15% Discount Voucher (3 Months),35.0,56.92,21.92
CUST-1049,35,Female,Suburban,72,One-Year,2020-09-04,105.5,7,20,537.5,158.1,142.29,9745.43,9745.43,85.44,2,0,4,0,2731.97,0,0,0.0274,0,135.35,0.506,5.24,19.2,0.0928,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1707.48,Free Service & Speed Upgrade,65.0,164.79,99.79
CUST-1050,21,Male,Urban,37,Two-Year,2023-08-04,59.8,5,15,488.9,40.5,92.4,3488.96,3488.96,1.91,0,1,3,0,1197.5,0,0,0.0,3,94.3,0.4004,2.54,12.96,0.0913,Low Risk,Silver CLV,Low Risk | Silver CLV,1108.8,15% Discount Voucher (3 Months),35.0,49.2,14.2
CUST-1051,42,Male,Urban,27,One-Year,2024-06-03,89.6,8,15,578.6,27.5,63.22,1635.51,1635.51,21.74,1,3,2,2,424.84,1,0,0.0357,12,60.57,0.4271,2.46,6.72,0.6492,High Risk,Bronze CLV,High Risk | Bronze CLV,758.64,Free Service & Speed Upgrade,65.0,170.31,105.31
CUST-1052,31,Male,Urban,1,Two-Year,2026-08-02,104.4,7,15,578.6,61.6,73.93,73.12,73.12,2.13,2,0,4,0,1419.46,0,0,1.0,0,73.12,0.0135,3.14,19.2,0.1299,Low Risk,Silver CLV,Low Risk | Silver CLV,887.16,Free Service & Speed Upgrade,65.0,119.85,54.85
CUST-1053,67,Female,Suburban,2,Month-to-Month,2026-07-03,56.8,5,21,305.1,79.5,147.08,298.93,298.93,10.07,2,0,4,0,2823.94,1,1,0.6667,0,149.46,0.0136,3.25,19.2,0.6013,High Risk,Gold/Platinum CLV,High Risk | Gold/Platinum CLV,1764.96,Dedicated VIP Account Concierge,150.0,1322.77,1172.77
CUST-1054,26,Female,Urban,8,One-Year,2026-01-01,89.2,7,25,415.8,50.5,53.72,451.18,451.18,107.62,0,2,3,2,618.85,0,0,0.0,6,56.4,0.1489,3.09,11.52,0.2508,Low Risk,Bronze CLV,Low Risk | Bronze CLV,644.64,Free Service & Speed Upgrade,65.0,100.88,35.88
CUST-1055,43,Female,Urban,7,Two-Year,2026-02-01,121.4,4,19,371.1,122.7,145.38,989.48,989.48,3.87,0,0,4,0,2791.3,0,0,0.0,0,141.35,0.0481,4.15,19.2,0.0993,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1744.56,Free Service & Speed Upgrade,65.0,180.16,115.16
CUST-1056,70,Female,Suburban,10,One-Year,2025-11-01,77.7,6,24,553.2,3.9,110.32,1049.11,1049.11,1.83,4,0,2,1,1059.07,1,0,0.3636,0,104.91,0.0906,2.38,9.6,0.8342,Critical Risk,Silver CLV,Critical Risk | Silver CLV,1323.84,Dedicated VIP Account Concierge,150.0,652.01,502.01
CUST-1057,19,Male,Urban,12,Month-to-Month,2025-09-02,24.5,5,13,480.4,59.5,104.47,1196.13,1196.13,3.19,2,1,3,2,1353.93,1,1,0.1538,3,99.68,0.1149,2.8,12.96,0.8929,Critical Risk,Silver CLV,Critical Risk | Silver CLV,1253.64,Dedicated VIP Account Concierge,150.0,892.19,742.19
CUST-1058,37,Male,Suburban,15,One-Year,2025-06-02,9.5,3,23,677.7,48.4,104.03,1517.27,1517.27,41.18,2,0,4,0,1997.38,0,0,0.125,0,101.15,0.1442,3.47,19.2,0.1215,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1248.36,Free Service & Speed Upgrade,65.0,157.74,92.74
CUST-1059,45,Female,Urban,18,One-Year,2025-03-03,94.3,11,26,500.2,2.6,74.03,1398.24,1398.24,0.43,2,0,3,0,1066.03,0,0,0.1053,0,77.68,0.2431,2.35,14.4,0.1795,Low Risk,Silver CLV,Low Risk | Silver CLV,888.36,Free Service & Speed Upgrade,65.0,124.38,59.38
CUST-1060,64,Male,Urban,4,Month-to-Month,2026-05-03,88.2,6,15,456.6,2.0,75.77,290.26,290.26,17.51,1,2,3,1,872.87,1,1,0.2,6,72.56,0.0528,1.7,11.52,0.8709,Critical Risk,Bronze CLV,Critical Risk | Bronze CLV,909.24,Dedicated VIP Account Concierge,150.0,561.01,411.01
CUST-1061,24,Male,Suburban,2,One-Year,2026-07-03,90.6,11,17,596.9,60.6,125.63,257.52,257.52,107.27,1,1,3,0,1628.16,1,0,0.3333,3,128.76,0.0159,3.26,12.96,0.6975,High Risk,Gold/Platinum CLV,High Risk | Gold/Platinum CLV,1507.56,Dedicated VIP Account Concierge,150.0,884.66,734.66
CUST-1062,61,Male,Urban,37,Two-Year,2023-08-04,99.7,5,19,598.6,8.2,119.47,4265.65,4265.65,2.5,3,0,2,0,1146.91,0,0,0.0789,0,115.29,0.3097,2.31,9.6,0.1441,Low Risk,Silver CLV,Low Risk | Silver CLV,1433.64,Free Service & Speed Upgrade,65.0,107.43,42.43
CUST-1063,25,Male,Urban,26,Month-to-Month,2024-07-03,40.6,5,17,670.1,95.1,104.95,2647.87,2647.87,94.12,1,1,4,1,1813.54,0,1,0.037,2,101.84,0.2477,4.09,17.28,0.413,Medium Risk,Gold/Platinum CLV,Medium Risk | Gold/Platinum CLV,1259.4,Dedicated VIP Account Concierge,150.0,614.17,464.17
CUST-1064,64,Female,Rural,20,One-Year,2025-01-01,60.8,6,16,486.8,193.8,142.45,2731.03,2731.03,4.38,4,0,3,0,2051.28,1,0,0.1905,0,136.55,0.1404,5.65,14.4,0.7708,High Risk,Gold/Platinum CLV,High Risk | Gold/Platinum CLV,1709.4,Dedicated VIP Account Concierge,150.0,1231.7,1081.7
CUST-1065,52,Male,Urban,34,One-Year,2023-11-03,97.7,6,19,819.8,12.7,120.06,3971.05,3971.05,4.79,2,2,3,1,1383.09,1,0,0.0571,6,116.8,0.2832,2.84,11.52,0.5743,Medium Risk,Silver CLV,Medium Risk | Silver CLV,1440.72,Dedicated VIP Account Concierge,150.0,651.33,501.33
CUST-1066,31,Female,Rural,58,One-Year,2021-11-03,107.1,11,22,616.5,104.2,78.82,4395.79,4395.79,32.5,1,0,4,0,1513.34,0,0,0.0169,0,75.79,0.7359,4.42,19.2,0.0858,Low Risk,Silver CLV,Low Risk | Silver CLV,945.84,15% Discount Voucher (3 Months),35.0,58.43,23.43
CUST-1067,34,Male,Rural,19,Month-to-Month,2025-02-01,77.3,7,15,827.2,58.2,105.41,1906.14,1906.14,9.79,2,1,3,0,1366.11,1,1,0.1,3,100.32,0.1802,3.57,12.96,0.8327,Critical Risk,Silver CLV,Critical Risk | Silver CLV,1264.92,Dedicated VIP Account Concierge,150.0,839.52,689.52
CUST-1068,53,Female,Urban,34,Two-Year,2023-11-03,42.0,7,27,465.4,38.6,80.91,2833.1,2833.1,0.11,1,1,3,1,1048.59,0,0,0.0286,3,83.33,0.4202,3.05,12.96,0.0873,Low Risk,Silver CLV,Low Risk | Silver CLV,970.92,15% Discount Voucher (3 Months),35.0,41.19,6.19
CUST-1069,67,Male,Urban,72,Month-to-Month,2020-09-04,95.2,11,22,858.4,68.3,46.53,3246.47,3246.47,48.45,1,1,3,0,603.03,0,1,0.0137,3,45.09,1.5474,4.18,12.96,0.1164,Low Risk,Bronze CLV,Low Risk | Bronze CLV,558.36,No Intervention,0.0,0.0,0.0
CUST-1070,57,Male,Suburban,61,Month-to-Month,2021-08-04,86.5,10,19,578.7,105.4,115.38,6769.75,6769.75,16.22,3,1,2,0,996.88,1,1,0.0484,4,110.98,0.5287,4.22,8.64,0.8469,Critical Risk,Silver CLV,Critical Risk | Silver CLV,1384.56,Dedicated VIP Account Concierge,150.0,623.06,473.06
CUST-1071,21,Female,Urban,19,Two-Year,2025-02-01,53.3,7,17,265.5,229.3,126.96,2357.29,2357.29,83.56,0,0,4,0,2437.63,0,0,0.0,0,124.07,0.1497,5.97,19.2,0.0931,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1523.52,Free Service & Speed Upgrade,65.0,147.51,82.51
CUST-1072,19,Female,Urban,34,One-Year,2023-11-03,25.5,3,25,278.6,70.2,47.33,1650.06,1650.06,11.4,1,1,3,0,613.4,0,0,0.0286,3,48.53,0.7184,3.21,12.96,0.1095,Low Risk,Bronze CLV,Low Risk | Bronze CLV,567.96,No Intervention,0.0,0.0,0.0
CUST-1073,23,Male,Suburban,7,Two-Year,2026-02-01,102.1,4,19,396.6,89.3,46.54,316.81,316.81,38.73,1,0,4,2,893.57,0,0,0.125,0,45.26,0.1504,3.53,19.2,0.1085,Low Risk,Bronze CLV,Low Risk | Bronze CLV,558.48,15% Discount Voucher (3 Months),35.0,43.63,8.63
CUST-1074,71,Male,Urban,27,Month-to-Month,2024-06-03,66.5,7,18,394.5,60.8,62.83,1703.52,1703.52,13.83,5,0,3,0,904.75,1,1,0.1786,0,63.09,0.4297,2.9,14.4,0.7096,High Risk,Bronze CLV,High Risk | Bronze CLV,753.96,Dedicated VIP Account Concierge,150.0,500.13,350.13
CUST-1075,59,Male,Rural,72,Month-to-Month,2020-09-04,90.6,10,16,511.2,54.1,128.96,9022.38,9022.38,5.62,3,0,4,0,2476.03,0,1,0.0411,0,125.31,0.5583,2.9,19.2,0.2088,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1547.52,Dedicated VIP Account Concierge,150.0,423.94,273.94
CUST-1076,21,Male,Urban,24,Two-Year,2024-09-02,89.5,5,11,766.5,4.4,32.98,782.58,782.58,128.88,3,0,3,0,474.91,0,0,0.12,0,32.61,0.7277,2.17,14.4,0.1534,Low Risk,Bronze CLV,Low Risk | Bronze CLV,395.76,No Intervention,0.0,0.0,0.0
CUST-1077,71,Male,Urban,72,Month-to-Month,2020-09-04,50.6,5,23,508.3,11.0,79.59,5742.71,5742.71,31.05,1,0,4,1,1528.13,0,1,0.0137,0,79.76,0.9046,2.39,19.2,0.1009,Low Risk,Silver CLV,Low Risk | Silver CLV,955.08,Free Service & Speed Upgrade,65.0,100.22,35.22
