CustomerID,Age,Gender,Location,Tenure,ContractType,CustomerSince,MonthlyUsageHours,NumTransactions,LoginsPerMonth,CallMinutes,DataUsageGB,MonthlyCharges,TotalCharges,Revenue,DiscountsReceived,SupportCallsCount,ComplaintsCount,SatisfactionScore,ServiceOutagesReported,CLV,Churn
CUST-1033,44,Female,Suburban,72,Month-to-Month,2020-09-04,75.9,2,26,498.7,12.7,82.26,6101.46,6101.46,11.23,1,1,4,0,1421.45,0
CUST-1034,59,Male,Urban,72,Two-Year,2020-09-04,123.6,7,14,398.8,56.4,105.65,7648.08,7648.08,35.08,0,0,4,2,2028.48,0
CUST-1035,45,Female,Suburban,6,One-Year,2026-03-03,110.1,7,17,526.1,16.0,44.71,264.5,264.5,52.28,1,1,3,2,579.44,0
CUST-1036,33,Male,Urban,7,Month-to-Month,2026-02-01,73.7,3,15,364.7,73.6,75.9,526.54,526.54,79.78,1,0,4,0,1457.28,0
CUST-1037,32,Female,Suburban,28,One-Year,2024-05-03,66.0,6,12,305.7,40.7,143.35,4039.4,4039.4,90.78,2,2,3,0,1651.39,1
CUST-1038,64,Male,Urban,34,Two-Year,2023-11-03,68.2,6,19,545.6,86.0,53.57,1745.93,1745.93,91.03,2,1,2,2,462.84,1
CUST-1039,68,Male,Suburban,45,One-Year,2022-12-03,46.1,2,21,347.8,126.0,53.49,2470.87,2470.87,37.47,1,0,4,2,1027.01,0
CUST-1040,61,Male,Urban,7,One-Year,2026-02-01,108.5,3,25,257.8,26.5,125.21,872.01,872.01,34.25,1,0,4,0,2404.03,0
CUST-1041,69,Female,Suburban,72,Month-to-Month,2020-09-04,114.0,1,17,527.7,180.9,101.66,7255.48,7255.48,0.52,2,2,3,0,1171.12,1
CUST-1042,20,Male,Suburban,34,Two-Year,2023-11-03,73.4,8,12,205.6,41.1,108.76,3798.86,3798.86,3.09,2,0,3,1,1566.14,0
CUST-1043,54,Female,Urban,62,Month-to-Month,2021-07-05,70.0,3,13,520.0,179.3,87.06,5435.07,5435.07,17.45,2,2,3,0,1002.93,0
CUST-1044,68,Male,Suburban,26,Two-Year,2024-07-03,64.1,9,11,523.1,17.0,50.38,1343.17,1343.17,55.1,1,0,4,0,967.3,0
CUST-1045,24,Male,Urban,18,Month-to-Month,2025-03-03,71.5,5,26,218.4,147.8,71.6,1344.04,1344.04,31.38,3,1,3,0,927.94,1
CUST-1046,38,Female,Rural,72,Month-to-Month,2020-09-04,62.9,9,14,230.6,26.4,51.45,3869.56,3869.56,9.39,3,0,4,0,987.84,0
CUST-1047,26,Male,Urban,29,Month-to-Month,2024-04-03,80.3,12,12,684.9,90.3,66.95,1927.82,1927.82,4.59,4,1,2,0,578.45,1
CUST-1048,56,Male,Suburban,67,Month-to-Month,2021-02-03,108.6,11,22,562.0,224.1,84.06,5389.57,5389.57,22.1,1,1,3,0,1089.42,0
CUST-1049,35,Female,Suburban,72,One-Year,2020-09-04,105.5,7,20,537.5,158.1,142.29,9745.43,9745.43,85.44,2,0,4,0,2731.97,0
CUST-1050,21,Male,Urban,37,Two-Year,2023-08-04,59.8,5,15,488.9,40.5,92.4,3488.96,3488.96,1.91,0,1,3,0,1197.5,0
CUST-1051,42,Male,Urban,27,One-Year,2024-06-03,89.6,8,15,578.6,27.5,63.22,1635.51,1635.51,21.74,1,3,2,2,424.84,1
CUST-1052,31,Male,Urban,1,Two-Year,2026-08-02,104.4,7,15,578.6,61.6,73.93,73.12,73.12,2.13,2,0,4,0,1419.46,0
CUST-1053,67,Female,Suburban,2,Month-to-Month,2026-07-03,56.8,5,21,305.1,79.5,147.08,298.93,298.93,10.07,2,0,4,0,2823.94,1
CUST-1054,26,Female,Urban,8,One-Year,2026-01-01,89.2,7,25,415.8,50.5,53.72,451.18,451.18,107.62,0,2,3,2,618.85,0
CUST-1055,43,Female,Urban,7,Two-Year,2026-02-01,121.4,4,19,371.1,122.7,145.38,989.48,989.48,3.87,0,0,4,0,2791.3,0
CUST-1056,70,Female,Suburban,10,One-Year,2025-11-01,77.7,6,24,553.2,3.9,110.32,1049.11,1049.11,1.83,4,0,2,1,1059.07,1
CUST-1057,19,Male,Urban,12,Month-to-Month,2025-09-02,24.5,5,13,480.4,59.5,104.47,1196.13,1196.13,3.19,2,1,3,2,1353.93,1
CUST-1058,37,Male,Suburban,15,One-Year,2025-06-02,9.5,3,23,677.7,48.4,104.03,1517.27,1517.27,41.18,2,0,4,0,1997.38,0
CUST-1059,45,Female,Urban,18,One-Year,2025-03-03,94.3,11,26,500.2,2.6,74.03,1398.24,1398.24,0.43,2,0,3,0,1066.03,0
CUST-1060,64,Male,Urban,4,Month-to-Month,2026-05-03,88.2,6,15,456.6,2.0,75.77,290.26,290.26,17.51,1,2,3,1,872.87,1
CUST-1061,24,Male,Suburban,2,One-Year,2026-07-03,90.6,11,17,596.9,60.6,125.63,257.52,257.52,107.27,1,1,3,0,1628.16,1
CUST-1062,61,Male,Urban,37,Two-Year,2023-08-04,99.7,5,19,598.6,8.2,119.47,4265.65,4265.65,2.5,3,0,2,0,1146.91,0
CUST-1063,25,Male,Urban,26,Month-to-Month,2024-07-03,40.6,5,17,670.1,95.1,104.95,2647.87,2647.87,94.12,1,1,4,1,1813.54,0
CUST-1064,64,Female,Rural,20,One-Year,2025-01-01,60.8,6,16,486.8,193.8,142.45,2731.03,2731.03,4.38,4,0,3,0,2051.28,1
CUST-1065,52,Male,Urban,34,One-Year,2023-11-03,97.7,6,19,819.8,12.7,120.06,3971.05,3971.05,4.79,2,2,3,1,1383.09,1
CUST-1066,31,Female,Rural,58,One-Year,2021-11-03,107.1,11,22,616.5,104.2,78.82,4395.79,4395.79,32.5,1,0,4,0,1513.34,0
CUST-1067,34,Male,Rural,19,Month-to-Month,2025-02-01,77.3,7,15,827.2,58.2,105.41,1906.14,1906.14,9.79,2,1,3,0,1366.11,1
CUST-1068,53,Female,Urban,34,Two-Year,2023-11-03,42.0,7,27,465.4,38.6,80.91,2833.1,2833.1,0.11,1,1,3,1,1048.59,0
CUST-1069,67,Male,Urban,72,Month-to-Month,2020-09-04,95.2,11,22,858.4,68.3,46.53,3246.47,3246.47,48.45,1,1,3,0,603.03,0
CUST-1070,57,Male,Suburban,61,Month-to-Month,2021-08-04,86.5,10,19,578.7,105.4,115.38,6769.75,6769.75,16.22,3,1,2,0,996.88,1
CUST-1071,21,Female,Urban,19,Two-Year,2025-02-01,53.3,7,17,265.5,229.3,126.96,2357.29,2357.29,83.56,0,0,4,0,2437.63,0
CUST-1072,19,Female,Urban,34,One-Year,2023-11-03,25.5,3,25,278.6,70.2,47.33,1650.06,1650.06,11.4,1,1,3,0,613.4,0
CUST-1073,23,Male,Suburban,7,Two-Year,2026-02-01,102.1,4,19,396.6,89.3,46.54,316.81,316.81,38.73,1,0,4,2,893.57,0
CUST-1074,71,Male,Urban,27,Month-to-Month,2024-06-03,66.5,7,18,394.5,60.8,62.83,1703.52,1703.52,13.83,5,0,3,0,904.75,1
CUST-1075,59,Male,Rural,72,Month-to-Month,2020-09-04,90.6,10,16,511.2,54.1,128.96,9022.38,9022.38,5.62,3,0,4,0,2476.03,0
CUST-1076,21,Male,Urban,24,Two-Year,2024-09-02,89.5,5,11,766.5,4.4,32.98,782.58,782.58,128.88,3,0,3,0,474.91,0
CUST-1077,71,Male,Urban,72,Month-to-Month,2020-09-04,50.6,5,23,508.3,11.0,79.59,5742.71,5742.71,31.05,1,0,4,1,1528.13,0
CUST-1078,46,Male,Urban,18,One-Year,2025-03-03,97.5,10,11,268.8,31.0,50.24,927.64,927.64,64.08,2,0,3,3,723.46,0
CUST-1079,35,Male,Rural,72,One-Year,2020-09-04,59.2,6,19,528.9,68.1,64.38,4534.17,4534.17,10.08,2,0,5,0,1545.12,0
CUST-1080,43,Male,Suburban,29,One-Year,2024-04-03,40.1,6,10,377.6,5.1,114.31,3297.25,3297.25,17.48,2,0,3,0,1646.06,0
CUST-1081,61,Female,Suburban,2,Month-to-Month,2026-07-03,36.3,12,14,386.9,51.1,130.48,264.69,264.69,22.68,4,2,2,0,1002.09,1
CUST-1082,51,Female,Urban,30,One-Year,2024-03-03,84.9,4,18,416.5,2.0,92.03,2698.85,2698.85,34.76,1,4,1,0,265.05,0
CUST-1083,27,Female,Urban,11,Two-Year,2025-10-02,132.8,6,14,383.9,94.4,138.44,1480.21,1480.21,17.58,3,0,3,2,1993.54,1
CUST-1084,53,Male,Urban,2,Month-to-Month,2026-07-03,86.2,7,15,216.8,71.5,134.26,270.37,270.37,9.95,1,1,4,0,2320.01,1
CUST-1085,31,Male,Urban,57,Month-to-Month,2021-12-04,138.5,6,20,467.2,47.8,57.64,3434.11,3434.11,7.37,0,0,4,0,1106.69,0
CUST-1086,48,Female,Suburban,11,Month-to-Month,2025-10-02,128.5,7,14,763.3,55.0,107.43,1230.19,1230.19,32.01,1,1,3,1,1392.29,1
CUST-1087,65,Male,Suburban,53,Month-to-Month,2022-04-04,100.5,4,18,594.1,175.5,140.83,7538.9,7538.9,9.96,7,0,2,0,1351.97,1
CUST-1088,32,Male,Urban,12,Two-Year,2025-09-02,132.2,6,17,235.9,154.2,112.65,1341.26,1341.26,17.68,2,1,2,0,973.3,1
CUST-1089,25,Female,Rural,8,Two-Year,2026-01-01,128.8,3,17,20.0,102.3,133.01,1071.08,1071.08,1.24,1,2,3,1,1532.28,1
CUST-1090,31,Female,Urban,72,Two-Year,2020-09-04,120.4,4,18,509.4,26.6,101.31,7514.61,7514.61,10.37,1,5,1,1,243.14,1
CUST-1091,40,Female,Rural,15,One-Year,2025-06-02,28.5,3,13,554.1,7.4,58.82,846.38,846.38,23.09,1,1,3,0,762.31,0
CUST-1092,57,Male,Urban,31,One-Year,2024-02-02,77.9,5,15,553.6,25.2,107.62,3430.03,3430.03,55.65,0,0,4,1,2066.3,0
CUST-1093,38,Male,Urban,31,Month-to-Month,2024-02-02,64.2,4,21,470.3,90.6,106.21,3344.54,3344.54,16.34,2,3,1,0,356.87,1
CUST-1094,33,Female,Urban,27,One-Year,2024-06-03,120.1,5,18,263.6,61.4,106.08,2798.01,2798.01,12.24,2,0,3,2,1527.55,1
CUST-1095,62,Male,Urban,72,One-Year,2020-09-04,75.8,4,18,749.3,79.5,47.88,3576.99,3576.99,25.4,4,1,2,1,413.68,1
CUST-1096,35,Female,Suburban,37,Two-Year,2023-08-04,137.6,6,18,427.4,7.2,40.54,1436.97,1436.97,1.79,3,0,3,2,583.78,0
CUST-1097,64,Female,Urban,17,Two-Year,2025-04-03,88.0,7,23,356.5,11.2,120.37,2131.96,2131.96,15.29,3,0,3,1,1733.33,0
CUST-1098,70,Female,Urban,66,Two-Year,2021-03-05,84.2,8,27,538.9,71.0,85.24,5562.79,5562.79,5.09,1,2,3,1,981.96,0
CUST-1099,41,Male,Suburban,7,Two-Year,2026-02-01,73.6,5,13,359.2,30.2,54.29,391.82,391.82,10.23,3,3,2,2,364.83,1
CUST-1100,43,Male,Suburban,26,Two-Year,2024-07-03,79.5,7,20,246.1,29.9,40.15,1007.83,1007.83,17.34,1,1,3,1,520.34,0
CUST-1101,42,Female,Suburban,72,Month-to-Month,2020-09-04,93.1,7,19,362.3,32.4,60.1,4356.42,4356.42,2.09,1,0,4,0,1153.92,0
CUST-1102,62,Female,Urban,33,Two-Year,2023-12-03,83.0,8,15,493.6,103.3,74.44,2341.91,2341.91,55.85,5,0,2,0,714.62,0
CUST-1103,58,Female,Suburban,56,One-Year,2022-01-03,71.1,10,11,685.6,78.1,149.75,8200.44,8200.44,11.24,2,0,3,1,2156.4,0
CUST-1104,46,Male,Suburban,35,Month-to-Month,2023-10-03,72.8,4,17,125.2,7.3,122.06,4412.93,4412.93,9.28,2,1,4,0,2109.2,1
CUST-1105,32,Male,Urban,61,Month-to-Month,2021-08-04,139.6,5,19,526.3,27.4,38.14,2315.92,2315.92,14.73,1,1,3,0,494.29,0
CUST-1106,62,Female,Urban,72,One-Year,2020-09-04,144.9,4,11,601.4,72.8,122.0,8924.11,8924.11,16.05,4,4,1,0,351.36,1
CUST-1107,18,Female,Urban,11,Month-to-Month,2025-10-02,70.9,3,18,523.3,242.8,126.27,1431.64,1431.64,58.63,1,1,3,1,1636.46,1
CUST-1108,42,Female,Urban,7,Month-to-Month,2026-02-01,110.5,4,20,564.3,158.2,75.0,526.59,526.59,11.73,5,0,3,0,1080.0,1
CUST-1109,24,Male,Urban,22,One-Year,2024-11-02,60.2,6,17,704.4,18.5,113.64,2521.54,2521.54,21.6,2,0,3,2,1636.42,1
CUST-1110,26,Female,Urban,40,Two-Year,2023-05-04,75.2,6,20,619.6,4.4,29.14,1196.64,1196.64,24.13,0,1,4,1,503.54,0
CUST-1111,41,Female,Suburban,9,One-Year,2025-12-02,52.4,5,13,378.5,55.4,117.43,1016.76,1016.76,12.77,2,0,3,0,1690.99,0
CUST-1112,18,Female,Suburban,1,Month-to-Month,2026-08-02,115.6,6,20,622.2,33.9,133.04,127.34,127.34,53.53,1,0,3,0,1915.78,1
CUST-1113,61,Male,Rural,14,Month-to-Month,2025-07-03,99.5,8,21,479.2,13.2,128.48,1820.65,1820.65,34.23,1,0,3,1,1850.11,1
CUST-1114,25,Male,Suburban,72,Month-to-Month,2020-09-04,105.3,9,25,591.1,68.5,124.1,9359.68,9359.68,44.68,3,1,2,0,1072.22,1
CUST-1115,41,Female,Urban,39,Month-to-Month,2023-06-04,111.6,6,15,225.1,11.4,134.2,5309.56,5309.56,1.96,3,0,2,0,1288.32,1
CUST-1116,28,Male,Rural,17,Month-to-Month,2025-04-03,58.9,6,16,418.6,28.1,110.57,1918.24,1918.24,59.92,1,0,4,1,2122.94,0
CUST-1117,68,Male,Rural,8,Two-Year,2026-01-01,75.3,7,16,558.6,102.9,119.4,970.34,970.34,9.62,2,0,4,1,2292.48,1
CUST-1118,34,Female,Urban,15,One-Year,2025-06-02,98.4,2,14,427.2,74.9,39.25,594.97,594.97,3.37,1,0,4,0,753.6,0
CUST-1119,25,Male,Suburban,7,Month-to-Month,2026-02-01,74.6,7,16,545.9,60.7,54.14,367.52,367.52,37.87,0,1,4,0,935.54,0
CUST-1120,52,Female,Rural,4,Month-to-Month,2026-05-03,87.1,7,22,691.7,173.6,140.91,582.82,582.82,8.61,0,1,4,0,2434.92,0
CUST-1121,52,Male,Urban,72,Month-to-Month,2020-09-04,61.0,5,18,400.9,8.7,141.02,10231.03,10231.03,18.26,1,0,3,0,2030.69,0
CUST-1122,50,Female,Rural,72,Month-to-Month,2020-09-04,124.9,3,18,609.3,76.3,119.24,8995.97,8995.97,43.07,0,1,4,1,2060.47,0
CUST-1123,22,Female,Urban,6,Month-to-Month,2026-03-03,113.2,6,17,264.9,8.1,92.9,533.38,533.38,3.79,2,1,2,1,802.66,0
CUST-1124,59,Male,Urban,2,Two-Year,2026-07-03,122.1,8,15,586.7,9.5,47.52,93.12,93.12,4.78,2,0,3,0,684.29,0
CUST-1125,56,Male,Urban,14,Month-to-Month,2025-07-03,104.8,8,26,156.2,45.9,140.89,1893.44,1893.44,38.27,2,0,3,0,2028.82,1
CUST-1126,58,Male,Suburban,21,Month-to-Month,2024-12-02,52.2,8,18,485.4,2.0,100.02,2175.86,2175.86,20.9,2,1,3,0,1296.26,1
CUST-1127,45,Male,Suburban,8,Month-to-Month,2026-01-01,70.6,3,22,479.7,45.2,88.02,726.54,726.54,8.75,3,1,3,1,1140.74,1
CUST-1128,24,Female,Rural,12,One-Year,2025-09-02,63.9,3,21,759.8,2.0,124.36,1533.07,1533.07,25.38,2,0,3,0,1790.78,0
CUST-1129,26,Female,Urban,8,Month-to-Month,2026-01-01,77.3,3,17,362.6,60.0,143.62,1169.48,1169.48,33.74,1,0,3,0,2068.13,1
CUST-1130,25,Male,Urban,49,Month-to-Month,2022-08-04,116.7,4,15,90.8,24.3,71.33,3357.67,3357.67,18.18,2,4,2,0,410.86,1
CUST-1131,29,Male,Suburban,41,Month-to-Month,2023-04-04,40.8,4,20,544.5,5.7,85.16,3458.72,3458.72,6.65,2,1,3,0,1103.67,1
CUST-1132,51,Male,Suburban,34,One-Year,2023-11-03,67.5,7,18,267.8,98.7,53.04,1840.24,1840.24,36.5,0,0,5,0,1272.96,0
CUST-1133,50,Female,Urban,17,Month-to-Month,2025-04-03,73.2,12,19,460.9,32.1,140.2,2350.23,2350.23,4.52,2,0,3,1,2018.88,1
CUST-1134,65,Male,Urban,72,Month-to-Month,2020-09-04,45.6,4,23,331.2,38.2,44.6,3281.15,3281.15,37.1,3,1,3,2,578.02,0
CUST-1135,40,Female,Suburban,72,Month-to-Month,2020-09-04,91.1,7,19,412.9,30.5,136.41,9610.74,9610.74,11.06,1,1,3,2,1767.87,1
CUST-1136,41,Female,Suburban,7,Month-to-Month,2026-02-01,74.7,2,20,63.6,5.7,47.82,336.2,336.2,0.05,1,1,4,1,826.33,1
CUST-1137,54,Female,Urban,9,Month-to-Month,2025-12-02,118.4,12,17,138.6,40.0,135.52,1201.94,1201.94,21.94,3,1,2,0,1170.89,1
CUST-1138,52,Male,Urban,25,Month-to-Month,2024-08-02,76.7,6,10,518.7,71.2,87.69,2284.65,2284.65,12.99,4,0,2,0,841.82,1
CUST-1139,61,Female,Rural,4,Month-to-Month,2026-05-03,98.8,5,20,423.9,151.9,115.87,460.81,460.81,9.12,0,0,4,1,2224.7,1
CUST-1140,57,Male,Suburban,19,Month-to-Month,2025-02-01,88.4,9,17,243.9,93.8,43.17,802.73,802.73,24.15,0,2,3,1,497.32,0
CUST-1141,39,Male,Urban,29,Month-to-Month,2024-04-03,10.6,9,13,350.6,5.4,71.16,1972.22,1972.22,14.36,1,0,4,0,1366.27,0
CUST-1142,44,Female,Urban,25,Month-to-Month,2024-08-02,41.9,8,19,538.3,11.8,83.51,2013.73,2013.73,12.24,3,0,3,0,1202.54,1
CUST-1143,52,Female,Suburban,14,Month-to-Month,2025-07-03,96.5,3,20,400.0,3.0,26.53,373.83,373.83,50.33,3,1,3,1,343.83,1
CUST-1144,18,Male,Urban,26,Two-Year,2024-07-03,95.1,7,19,528.2,8.3,102.24,2711.71,2711.71,3.03,2,2,3,0,1177.8,1
CUST-1145,52,Male,Urban,72,One-Year,2020-09-04,82.9,7,7,292.4,42.6,127.86,9624.21,9624.21,17.75,2,1,3,0,1657.07,0
CUST-1146,54,Male,Urban,8,One-Year,2026-01-01,124.9,3,17,548.8,16.1,30.27,244.5,244.5,9.92,4,0,2,0,290.59,1
CUST-1147,64,Male,Urban,35,Two-Year,2023-10-03,100.3,11,19,407.0,67.9,91.82,3271.79,3271.79,11.76,0,1,4,0,1586.65,0
CUST-1148,31,Male,Suburban,2,Two-Year,2026-07-03,132.1,9,21,518.7,2.1,29.2,59.1,59.1,20.41,2,1,3,1,378.43,0
CUST-1149,20,Male,Urban,3,One-Year,2026-06-02,11.2,5,14,502.5,126.5,144.41,450.67,450.67,89.59,3,0,3,1,2079.5,1
CUST-1150,18,Male,Suburban,27,One-Year,2024-06-03,137.0,6,17,377.3,73.6,54.53,1443.22,1443.22,37.68,0,3,2,1,366.44,0
CUST-1151,22,Female,Urban,4,Month-to-Month,2026-05-03,66.8,5,30,386.1,226.0,65.62,265.19,265.19,7.51,1,3,1,2,220.48,1
CUST-1152,43,Female,Urban,1,Month-to-Month,2026-08-02,85.7,7,12,422.7,198.5,153.41,160.46,160.46,29.74,1,0,4,0,2945.47,0
CUST-1153,31,Female,Urban,7,One-Year,2026-02-01,120.6,9,16,572.9,76.7,87.63,583.18,583.18,5.85,2,1,3,0,1135.68,1
CUST-1154,56,Male,Rural,28,Two-Year,2024-05-03,21.6,6,22,761.0,11.2,37.65,1030.06,1030.06,75.79,2,1,3,1,487.94,0
CUST-1155,44,Female,Rural,40,Month-to-Month,2023-05-04,77.4,6,28,308.0,16.3,101.96,4183.94,4183.94,19.3,2,0,4,2,1957.63,0
CUST-1156,26,Female,Urban,8,One-Year,2026-01-01,115.3,4,15,624.0,21.1,109.31,871.85,871.85,104.62,1,1,3,0,1416.66,1
CUST-1157,32,Female,Suburban,37,Month-to-Month,2023-08-04,66.5,5,25,402.4,36.2,95.78,3426.34,3426.34,38.0,0,2,3,0,1103.39,1
CUST-1158,32,Female,Suburban,7,Month-to-Month,2026-02-01,112.4,7,20,431.3,55.0,71.44,503.66,503.66,62.76,1,1,3,0,925.86,0
CUST-1159,43,Female,Rural,32,Month-to-Month,2024-01-03,105.3,4,12,501.2,74.6,85.0,2724.1,2724.1,6.92,3,3,2,0,571.2,1
CUST-1160,59,Female,Urban,18,Month-to-Month,2025-03-03,90.1,9,19,368.5,5.1,135.57,2429.06,2429.06,67.57,3,0,2,1,1301.47,1
CUST-1161,30,Male,Suburban,35,Month-to-Month,2023-10-03,103.0,10,19,385.4,61.3,95.65,3294.77,3294.77,7.36,1,0,3,2,1377.36,1
CUST-1162,68,Female,Urban,72,One-Year,2020-09-04,123.8,4,19,786.8,4.0,71.26,4901.14,4901.14,130.77,2,0,3,0,1026.14,0
CUST-1163,49,Female,Urban,72,Two-Year,2020-09-04,103.1,3,24,465.2,114.1,123.55,8988.22,8988.22,11.49,3,1,2,1,1067.47,0
CUST-1164,56,Female,Rural,1,Two-Year,2026-08-02,112.9,11,24,539.2,2.7,34.16,34.22,34.22,40.33,0,1,3,0,442.71,0
CUST-1165,66,Female,Urban,72,Month-to-Month,2020-09-04,58.6,3,19,777.6,32.1,63.2,4589.24,4589.24,27.68,1,4,1,0,182.02,0
CUST-1166,69,Male,Urban,3,Two-Year,2026-06-02,102.5,7,22,772.0,35.4,56.36,160.67,160.67,22.79,3,1,2,0,486.95,1
CUST-1167,49,Male,Urban,72,Month-to-Month,2020-09-04,99.7,11,15,418.2,54.9,111.45,7689.53,7689.53,19.59,2,1,2,0,962.93,0
CUST-1168,21,Female,Suburban,11,Month-to-Month,2025-10-02,118.7,3,28,310.4,6.5,95.43,1014.85,1014.85,16.94,1,0,4,0,1832.26,0
CUST-1169,47,Female,Suburban,16,One-Year,2025-05-03,50.3,7,23,256.6,175.8,138.71,2207.92,2207.92,12.64,4,1,2,0,1198.45,1
CUST-1170,54,Female,Urban,4,Month-to-Month,2026-05-03,117.2,7,22,238.2,31.4,78.79,324.86,324.86,31.83,1,0,3,2,1134.58,0
